"Education","Male","Female","Total","country","Year"
"Primary","1389","1952","3341","Somalia",2014
"Professional","10","15","25","Somalia",2014
"Secondary","212","570","782","Somalia",2014
"Technical School","31","48","79","Somalia",2014
"University/College","37","125","162","Somalia",2014
"Unknown","77","65","142","Somalia",2014
"Bio Data not Complete","1980","1500","3480","Somalia",2015
"Graduate School","0","3","3","Somalia",2015
"Intermediate","74","96","170","Somalia",2015
"Kindergarten","143","141","284","Somalia",2015
"NONE","226","177","403","Somalia",2015
"Pre-University","0","1","1","Somalia",2015
"Primary","1134","1313","2447","Somalia",2015
"Professional","12","19","31","Somalia",2015
"Secondary","208","466","674","Somalia",2015
"Technical School","27","32","59","Somalia",2015
"University/College","19","71","90","Somalia",2015
"Unknown","62","75","137","Somalia",2015
"Bio Data not Complete","2923","2070","4993","Somalia",2016
"Graduate School","1","7","8","Somalia",2016
"Intermediate","50","48","98","Somalia",2016
"Kindergarten","215","199","414","Somalia",2016
"NONE","177","165","342","Somalia",2016
"Pre-University","1","0","1","Somalia",2016
"Primary","1683","2100","3783","Somalia",2016
"Professional","8","15","23","Somalia",2016
"Secondary","265","577","842","Somalia",2016
"Technical School","27","42","69","Somalia",2016
"University/College","20","112","132","Somalia",2016
"Unknown","45","36","81","Somalia",2016
"Bio Data not Complete","888","564","1452","Somalia",2017
"Graduate School","0","1","1","Somalia",2017
"Intermediate","16","22","38","Somalia",2017
"Kindergarten","29","39","68","Somalia",2017
"NONE","26","22","48","Somalia",2017
"Primary","435","403","838","Somalia",2017
"Professional","3","2","5","Somalia",2017
"Secondary","81","151","232","Somalia",2017
"Technical School","16","13","29","Somalia",2017
"University/College","17","35","52","Somalia",2017
"Unknown","5","2","7","Somalia",2017
"Bio Data not Complete","63","37","100","Somalia",2018
"Intermediate","5","2","7","Somalia",2018
"Kindergarten","0","1","1","Somalia",2018
"Primary","12","5","17","Somalia",2018
"Secondary","3","10","13","Somalia",2018
"Unknown","1","0","1","Somalia",2018
