"Age Group","Male","Female","Total","country","Year"
"Age 31 to 40","1507","1829","3336","Iraq",2014
"Age 41 to 50","968","1073","2041","Iraq",2014
"Age 51 to 64","1068","771","1839","Iraq",2014
"Age 65 and Over","422","402","824","Iraq",2014
"Under 14","1465","1652","3117","Iraq",2015
"Age 14 to 20","494","615","1109","Iraq",2015
"Age 21 to 30","960","1202","2162","Iraq",2015
"Age 31 to 40","786","983","1769","Iraq",2015
"Age 41 to 50","485","491","976","Iraq",2015
"Age 51 to 64","404","322","726","Iraq",2015
"Age 65 and Over","184","126","310","Iraq",2015
"Under 14","1690","1928","3618","Iraq",2016
"Age 14 to 20","577","643","1220","Iraq",2016
"Age 21 to 30","1151","1151","2302","Iraq",2016
"Age 31 to 40","914","1023","1937","Iraq",2016
"Age 41 to 50","526","491","1017","Iraq",2016
"Age 51 to 64","503","318","821","Iraq",2016
"Age 65 and Over","228","189","417","Iraq",2016
"Under 14","471","550","1021","Iraq",2017
"Age 14 to 20","194","180","374","Iraq",2017
"Age 21 to 30","334","254","588","Iraq",2017
"Age 31 to 40","270","238","508","Iraq",2017
"Age 41 to 50","196","143","339","Iraq",2017
"Age 51 to 64","207","143","350","Iraq",2017
"Age 65 and Over","87","72","159","Iraq",2017
"Under 14","4","3","7","Iraq",2018
"Age 14 to 20","0","1","1","Iraq",2018
"Age 21 to 30","1","2","3","Iraq",2018
"Age 31 to 40","1","1","2","Iraq",2018
"Age 41 to 50","0","1","1","Iraq",2018
"Age 51 to 64","21","14","35","Iraq",2018
"Age 65 and Over","24","18","42","Iraq",2018
"Under 14","871","876","1747","Somalia",2009
"Age 14 to 20","386","401","787","Somalia",2009
"Age 21 to 30","490","557","1047","Somalia",2009
"Age 31 to 40","248","216","464","Somalia",2009
"Age 41 to 50","199","140","339","Somalia",2009
"Age 51 to 64","92","79","171","Somalia",2009
"Age 65 and Over","30","35","65","Somalia",2009
"Under 14","797","880","1677","Somalia",2010
"Age 14 to 20","361","369","730","Somalia",2010
"Age 21 to 30","522","576","1098","Somalia",2010
"Age 31 to 40","230","202","432","Somalia",2010
"Age 41 to 50","173","117","290","Somalia",2010
"Age 51 to 64","76","67","143","Somalia",2010
"Age 65 and Over","16","15","31","Somalia",2010
"Under 14","577","641","1218","Somalia",2011
"Age 14 to 20","301","248","549","Somalia",2011
"Age 21 to 30","475","454","929","Somalia",2011
"Age 31 to 40","199","145","344","Somalia",2011
"Age 41 to 50","161","76","237","Somalia",2011
"Age 51 to 64","90","62","152","Somalia",2011
"Age 65 and Over","10","14","24","Somalia",2011
"Under 14","941","983","1924","Somalia",2012
"Age 14 to 20","388","400","788","Somalia",2012
"Age 21 to 30","670","1090","1760","Somalia",2012
"Age 31 to 40","314","391","705","Somalia",2012
"Age 41 to 50","217","204","421","Somalia",2012
"Age 51 to 64","115","121","236","Somalia",2012
"Age 65 and Over","29","30","59","Somalia",2012
"Under 14","1248","1340","2588","Somalia",2013
"Age 14 to 20","501","563","1064","Somalia",2013
"Age 21 to 30","793","1205","1998","Somalia",2013
"Age 31 to 40","421","520","941","Somalia",2013
"Age 41 to 50","273","237","510","Somalia",2013
"Age 51 to 64","127","154","281","Somalia",2013
"Age 65 and Over","32","36","68","Somalia",2013
"Under 14","1913","1948","3861","Somalia",2014
"Age 14 to 20","756","860","1616","Somalia",2014
"Age 21 to 30","992","1263","2255","Somalia",2014
"Age 31 to 40","542","599","1141","Somalia",2014
"Age 41 to 50","397","317","714","Somalia",2014
"Age 51 to 64","169","202","371","Somalia",2014
"Age 65 and Over","51","48","99","Somalia",2014
"Under 14","1433","1531","2964","Somalia",2015
"Age 14 to 20","621","607","1228","Somalia",2015
"Age 21 to 30","905","914","1819","Somalia",2015
"Age 31 to 40","435","448","883","Somalia",2015
"Age 41 to 50","288","207","495","Somalia",2015
"Age 51 to 64","157","148","305","Somalia",2015
"Age 65 and Over","46","39","85","Somalia",2015
"Under 14","2178","2109","4287","Somalia",2016
"Age 14 to 20","855","883","1738","Somalia",2016
"Age 21 to 30","1095","1216","2311","Somalia",2016
"Age 31 to 40","616","620","1236","Somalia",2016
"Age 41 to 50","407","286","693","Somalia",2016
"Age 51 to 64","193","208","401","Somalia",2016
"Age 65 and Over","71","49","120","Somalia",2016
"Under 14","558","544","1102","Somalia",2017
"Age 14 to 20","248","196","444","Somalia",2017
"Age 21 to 30","342","271","613","Somalia",2017
"Age 31 to 40","184","132","316","Somalia",2017
"Age 41 to 50","89","41","130","Somalia",2017
"Age 51 to 64","71","55","126","Somalia",2017
"Age 65 and Over","24","15","39","Somalia",2017
"Under 14","26","24","50","Somalia",2018
"Age 14 to 20","26","8","34","Somalia",2018
"Age 21 to 30","19","10","29","Somalia",2018
"Age 31 to 40","7","6","13","Somalia",2018
"Age 41 to 50","4","5","9","Somalia",2018
"Age 51 to 64","2","1","3","Somalia",2018
"Age 65 and Over","0","1","1","Somalia",2018
